measure,hu33_samples,notes_ticks
1.365000,48069,2362
1.370000,48510,2381
1.375000,48951,2400
1.380000,49392,2419
1.385000,49833,2438
1.390000,50274,2458
1.395000,50715,2477
1.400000,51156,2496
1.405000,51597,2515
1.410000,52038,2534
1.415000,52479,2554
1.635000,52920,3398
1.640000,53361,3418
1.645000,53802,3437
1.650000,54243,3456
1.655000,54684,3475
1.660000,55125,3494
1.665000,55566,3514
1.670000,56007,3533
1.675000,56448,3552
1.680000,56889,3571
1.685000,57330,3590
1.690000,57771,3610
1.695000,58212,3629
1.700000,58653,3648
1.705000,59094,3667
1.710000,59535,3686
1.715000,59976,3706
1.720000,60417,3725
1.725000,60858,3744
1.730000,61299,3763
1.735000,61740,3782
1.740000,62181,3802
1.745000,62622,3821
1.750000,63063,3840
1.755000,63504,3859
1.760000,63945,3878
1.765000,64386,3898
1.770000,64827,3917
1.775000,65268,3936
1.780000,65709,3955
1.785000,66150,3974
1.790000,66591,3994
1.795000,67032,4013
1.800000,67473,4032
1.805000,67914,4051
1.810000,68355,4070
1.815000,68796,4090
1.820000,69237,4109
1.825000,69678,4128
1.830000,70119,4147
1.835000,70560,4166
1.840000,71001,4186
1.845000,71442,4205
1.850000,71883,4224
1.855000,72324,4243
1.860000,72765,4262
1.865000,73206,4282
1.870000,73647,4301
1.875000,74088,4320
1.880000,74529,4339
1.885000,74970,4358
1.890000,75411,4378
1.895000,75852,4397
1.900000,76293,4416
1.905000,76734,4435
1.995000,77175,4781
2.000000,77616,4800
2.005000,78057,4819
2.010000,78498,4838
2.015000,78939,4858
2.020000,79380,4877
2.025000,79821,4896
2.030000,80262,4915
2.035000,80703,4934
2.040000,81144,4954
2.045000,81585,4973
2.050000,82026,4992
2.055000,82467,5011
2.060000,82908,5030
2.065000,83349,5050
2.070000,83790,5069
2.075000,84231,5088
2.080000,84672,5107
2.085000,85113,5126
2.090000,85554,5146
2.095000,85995,5165
2.100000,86436,5184
2.105000,86877,5203
2.200000,87318,5568
2.205000,87759,5587
2.210000,88200,5606
2.215000,88641,5626
2.220000,89082,5645
2.225000,89523,5664
2.230000,89964,5683
2.235000,90405,5702
2.240000,90846,5722
2.245000,91287,5741
2.250000,91728,5760
2.255000,92169,5779
2.260000,92610,5798
2.265000,93051,5818
2.270000,93492,5837
2.275000,93933,5856
2.280000,94374,5875
2.285000,94815,5894
2.290000,95256,5914
2.295000,95697,5933
2.300000,96138,5952
2.305000,96579,5971
2.310000,97020,5990
2.315000,97461,6010
2.320000,97902,6029
2.325000,98343,6048
2.330000,98784,6067
2.335000,99225,6086
2.340000,99666,6106
2.345000,100107,6125
2.350000,100548,6144
2.355000,100989,6163
2.360000,101430,6182
2.365000,101871,6202
2.370000,102312,6221
2.375000,102753,6240
2.380000,103194,6259
2.385000,103635,6278
2.390000,104076,6298
2.395000,104517,6317
2.400000,104958,6336
2.405000,105399,6355
2.410000,105840,6374
2.415000,106281,6394
2.420000,106722,6413
2.425000,107163,6432
2.430000,107604,6451
2.435000,108045,6470
2.440000,108486,6490
2.445000,108927,6509
2.450000,109368,6528
2.455000,109809,6547
2.460000,110250,6566
2.465000,110691,6586
2.470000,111132,6605
2.475000,111573,6624
2.685000,112014,7430
2.690000,112455,7450
2.695000,112896,7469
2.700000,113337,7488
2.705000,113778,7507
2.710000,114219,7526
2.715000,114660,7546
2.720000,115101,7565
2.725000,115542,7584
2.730000,115983,7603
2.735000,116424,7622
2.740000,116865,7642
2.745000,117306,7661
2.750000,117747,7680
2.755000,118188,7699
2.760000,118629,7718
2.765000,119070,7738
2.770000,119511,7757
2.775000,119952,7776
2.780000,120393,7795
2.785000,120834,7814
2.790000,121275,7834
2.795000,121716,7853
2.800000,122157,7872
2.805000,122598,7891
2.810000,123039,7910
2.815000,123480,7930
2.820000,123921,7949
2.825000,124362,7968
2.830000,124803,7987
2.835000,125244,8006
2.840000,125685,8026
2.845000,126126,8045
2.850000,126567,8064
2.855000,127008,8083
2.860000,127449,8102
2.865000,127890,8122
2.870000,128331,8141
2.875000,128772,8160
2.880000,129213,8179
2.975000,129654,8544
2.980000,130095,8563
2.985000,130536,8582
2.990000,130977,8602
2.995000,131418,8621
3.000000,131859,8640
3.005000,132300,8659
3.010000,132741,8678
3.015000,133182,8698
3.020000,133623,8717
3.025000,134064,8736
3.030000,134505,8755
3.035000,134946,8774
3.040000,135387,8794
3.045000,135828,8813
3.050000,136269,8832
3.055000,136710,8851
3.060000,137151,8870
3.065000,137592,8890
3.070000,138033,8909
3.075000,138474,8928
3.080000,138915,8947
3.085000,139356,8966
3.090000,139797,8986
3.095000,140238,9005
3.100000,140679,9024
3.105000,141120,9043
3.110000,141561,9062
3.115000,142002,9082
3.225000,142443,9504
3.230000,142884,9523
3.235000,143325,9542
3.240000,143766,9562
3.245000,144207,9581
3.250000,144648,9600
3.260000,145089,9638
3.265000,145530,9658
3.270000,145971,9677
3.275000,146412,9696
3.280000,146853,9715
3.285000,147294,9734
3.290000,147735,9754
3.295000,148176,9773
3.300000,148617,9792
3.305000,149058,9811
3.310000,149499,9830
3.315000,149940,9850
3.320000,150381,9869
3.325000,150822,9888
3.330000,151263,9907
3.335000,151704,9926
3.340000,152145,9946
3.345000,152586,9965
3.350000,153027,9984
3.355000,153468,10003
3.360000,153909,10022
3.365000,154350,10042
3.370000,154791,10061
3.375000,155232,10080
3.455000,155673,10387
3.460000,156114,10406
3.465000,156555,10426
3.470000,156996,10445
3.475000,157437,10464
3.480000,157878,10483
3.485000,158319,10502
3.490000,158760,10522
3.495000,159201,10541
3.500000,159642,10560
3.505000,160083,10579
3.510000,160524,10598
3.515000,160965,10618
3.520000,161406,10637
3.525000,161847,10656
3.530000,162288,10675
3.535000,162729,10694
3.540000,163170,10714
3.545000,163611,10733
3.550000,164052,10752
3.555000,164493,10771
3.560000,164934,10790
3.565000,165375,10810
3.570000,165816,10829
3.680000,166257,11251
3.685000,166698,11270
3.690000,167139,11290
3.695000,167580,11309
3.700000,168021,11328
3.705000,168462,11347
3.710000,168903,11366
3.715000,169344,11386
3.720000,169785,11405
3.725000,170226,11424
3.730000,170667,11443
3.735000,171108,11462
3.740000,171549,11482
3.745000,171990,11501
3.750000,172431,11520
3.755000,172872,11539
3.760000,173313,11558
3.765000,173754,11578
3.770000,174195,11597
3.775000,174636,11616
3.780000,175077,11635
3.785000,175518,11654
3.790000,175959,11674
3.795000,176400,11693
3.800000,176841,11712
3.805000,177282,11731
3.810000,177723,11750
3.815000,178164,11770
3.820000,178605,11789
3.825000,179046,11808
3.830000,179487,11827
3.835000,179928,11846
3.840000,180369,11866
3.845000,180810,11885
3.850000,181251,11904
3.855000,181692,11923
3.860000,182133,11942
3.865000,182574,11962
3.870000,183015,11981
3.875000,183456,12000
3.880000,183897,12019
3.885000,184338,12038
3.890000,184779,12058
3.895000,185220,12077
3.900000,185661,12096
3.905000,186102,12115
3.910000,186543,12134
3.915000,186984,12154
3.920000,187425,12173
3.995000,187866,12461
4.000000,188307,12480
4.005000,188748,12499
4.010000,189189,12518
4.015000,189630,12538
4.020000,190071,12557
4.025000,190512,12576
4.030000,190953,12595
4.035000,191394,12614
4.040000,191835,12634
4.045000,192276,12653
4.050000,192717,12672
4.055000,193158,12691
4.060000,193599,12710
4.065000,194040,12730
4.070000,194481,12749
4.075000,194922,12768
4.080000,195363,12787
4.085000,195804,12806
4.090000,196245,12826
4.095000,196686,12845
4.100000,197127,12864
4.105000,197568,12883
4.110000,198009,12902
4.115000,198450,12922
4.205000,198891,12941
4.210000,199332,12960
4.215000,199773,12979
4.220000,200214,12998
4.225000,200655,13344
4.230000,201096,13363
4.235000,201537,13382
4.240000,201978,13402
4.245000,202419,13421
4.250000,202860,13440
4.255000,203301,13459
4.260000,203742,13478
4.265000,204183,13498
4.270000,204624,13517
4.275000,205065,13536
4.280000,205506,13555
4.285000,205947,13574
4.290000,206388,13594
4.295000,206829,13613
4.300000,207270,13632
4.305000,207711,13651
4.310000,208152,13670
4.315000,208593,13690
4.320000,209034,13709
4.325000,209475,13728
4.330000,209916,13747
4.335000,210357,13766
4.340000,210798,13786
4.345000,211239,13805
4.350000,211680,13824
4.355000,212121,13843
4.360000,212562,13862
4.365000,213003,13882
4.370000,213444,13901
4.375000,213885,13920
4.380000,214326,13939
4.385000,214767,13958
4.485000,215208,14342
4.490000,215649,14362
4.495000,216090,14381
4.500000,216531,14400
4.505000,216972,14419
4.510000,217413,14438
4.515000,217854,14458
4.520000,218295,14477
4.525000,218736,14496
4.530000,219177,14515
4.535000,219618,14534
4.540000,220059,14554
4.545000,220500,14573
4.550000,220941,14592
4.555000,221382,14611
4.560000,221823,14630
4.565000,222264,14650
4.570000,222705,14669
4.575000,223146,14688
4.580000,223587,14707
4.585000,224028,14726
4.590000,224469,14746
4.595000,224910,14765
4.600000,225351,14784
4.605000,225792,14803
4.610000,226233,14822
4.615000,226674,14842
4.620000,227115,14861
4.625000,227556,14880
4.630000,227997,14899
4.635000,228438,14918
4.740000,228879,15322
4.745000,229320,15341
4.750000,229761,15360
4.755000,230202,15379
4.760000,230643,15398
4.765000,231084,15418
4.770000,231525,15437
4.775000,231966,15456
4.780000,232407,15475
4.785000,232848,15494
4.790000,233289,15514
4.795000,233730,15533
4.800000,234171,15552
4.805000,234612,15571
4.810000,235053,15590
4.815000,235494,15610
4.820000,235935,15629
4.825000,236376,15648
4.830000,236817,15667
4.835000,237258,15686
4.840000,237699,15706
4.845000,238140,15725
4.850000,238581,15744
4.855000,239022,15763
4.860000,239463,15782
4.865000,239904,15802
4.870000,240345,15821
4.875000,240786,15840
4.880000,241227,15859
4.885000,241668,15878
4.890000,242109,15898
4.895000,242550,15917
4.900000,242991,15936
4.905000,243432,15955
4.910000,243873,15974
4.915000,244314,15994
4.985000,244755,16262
4.990000,245196,16282
4.995000,245637,16301
5.000000,246078,16320
5.005000,246519,16339
5.010000,246960,16358
5.015000,247401,16378
5.020000,247842,16397
5.025000,248283,16416
5.030000,248724,16435
5.035000,249165,16454
5.040000,249606,16474
5.045000,250047,16493
5.050000,250488,16512
5.055000,250929,16531
5.060000,251370,16550
5.065000,251811,16570
5.070000,252252,16589
5.075000,252693,16608
5.080000,253134,16627
5.085000,253575,16646
5.090000,254016,16666
5.095000,254457,16685
5.100000,254898,16704
5.105000,255339,16723
5.110000,255780,16742
5.115000,256221,16762
5.120000,256662,16781
5.125000,257103,16800
5.130000,257544,16819
5.135000,257985,16838
5.140000,258426,16858
5.145000,258867,16877
5.150000,259308,16896
5.235000,259749,17222
5.240000,260190,17242
5.245000,260631,17261
5.250000,261072,17280
5.255000,261513,17299
5.260000,261954,17318
5.265000,262395,17338
5.270000,262836,17357
5.275000,263277,17376
5.280000,263718,17395
5.285000,264159,17414
5.290000,264600,17434
5.295000,265041,17453
5.300000,265482,17472
5.355000,265923,17683
5.360000,266364,17702
5.365000,266805,17722
5.370000,267246,17741
5.375000,267687,17760
5.380000,268128,17779
5.385000,268569,17798
5.390000,269010,17818
5.395000,269451,17837
5.400000,269892,17856
5.405000,270333,17875
5.410000,270774,17894
5.415000,271215,17914
5.420000,271656,17933
5.425000,272097,17952
5.430000,272538,17971
5.470000,272979,18125
5.475000,273420,18144
5.480000,273861,18163
5.485000,274302,18182
5.490000,274743,18202
5.495000,275184,18221
5.500000,275625,18240
5.505000,276066,18259
5.510000,276507,18278
5.515000,276948,18298
5.520000,277389,18317
5.525000,277830,18336
5.530000,278271,18355
5.535000,278712,18374
5.540000,279153,18394
5.545000,279594,18413
5.550000,280035,18432
5.555000,280476,18451
5.560000,280917,18470
5.565000,281358,18490
5.570000,281799,18509
5.575000,282240,18528
5.580000,282681,18547
5.585000,283122,18566
5.590000,283563,18586
5.595000,284004,18605
5.600000,284445,18624
5.605000,284886,18643
5.610000,285327,18662
5.615000,285768,18682
5.620000,286209,18701
5.750000,286650,19200
5.755000,287091,19219
5.760000,287532,19238
5.765000,287973,19258
5.770000,288414,19277
5.775000,288855,19296
5.780000,289296,19315
5.785000,289737,19334
5.790000,290178,19354
5.795000,290619,19373
5.800000,291060,19392
5.805000,291501,19411
5.870000,291942,19661
5.880000,292383,19699
5.885000,292824,19718
5.890000,293265,19738
5.895000,293706,19757
5.900000,294147,19776
5.905000,294588,19795
5.910000,295029,19814
5.915000,295470,19834
5.920000,295911,19853
5.925000,296352,19872
5.930000,296793,19891
5.935000,297234,19910
5.940000,297675,19930
5.945000,298116,19949
5.950000,298557,19968
5.955000,298998,19987
5.960000,299439,20006
5.995000,299880,20141
6.000000,300321,20160
6.005000,300762,20179
6.010000,301203,20198
6.015000,301644,20218
6.020000,302085,20237
6.025000,302526,20256
6.030000,302967,20275
6.035000,303408,20294
6.040000,303849,20314
6.045000,304290,20333
6.050000,304731,20352
6.055000,305172,20371
6.060000,305613,20390
6.065000,306054,20410
6.070000,306495,20429
6.075000,306936,20448
6.080000,307377,20467
6.085000,307818,20486
6.090000,308259,20506
6.095000,308700,20525
6.100000,309141,20544
6.105000,309582,20563
6.110000,310023,20582
6.115000,310464,20602
6.120000,310905,20621
6.125000,311346,20640
6.130000,311787,20659
6.135000,312228,20678
6.140000,312669,20698
6.230000,313110,21043
6.235000,313551,21062
6.240000,313992,21082
6.245000,314433,21101
6.250000,314874,21120
6.255000,315315,21139
6.300000,315756,21312
6.305000,316197,21331
6.310000,316638,21350
6.315000,317079,21370
6.345000,317520,21485
6.350000,317961,21504
6.355000,318402,21523
6.360000,318843,21542
6.365000,319284,21562
6.370000,319725,21581
6.375000,320166,21600
6.380000,320607,21619
6.385000,321048,21638
6.390000,321489,21658
6.395000,321930,21677
6.400000,322371,21696
6.405000,322812,21715
6.410000,323253,21734
6.415000,323694,21754
6.420000,324135,21773
6.425000,324576,21792
6.430000,325017,21811
6.435000,325458,21830
6.440000,325899,21850
6.445000,326340,21869
6.450000,326781,21888
6.455000,327222,21907
6.460000,327663,21926
6.500000,328104,22080
6.505000,328545,22099
6.510000,328986,22118
6.515000,329427,22138
6.520000,329868,22157
6.525000,330309,22176
6.530000,330750,22195
6.535000,331191,22214
6.540000,331632,22234
6.545000,332073,22253
6.550000,332514,22272
6.555000,332955,22291
6.560000,333396,22310
6.565000,333837,22330
6.570000,334278,22349
6.575000,334719,22368
6.580000,335160,22387
6.585000,335601,22406
6.670000,336042,22733
6.675000,336483,22752
6.680000,336924,22771
6.685000,337365,22790
6.690000,337806,22810
6.695000,338247,22829
6.700000,338688,22848
6.705000,339129,22867
6.710000,339570,22886
6.715000,340011,22906
6.720000,340452,22925
6.725000,340893,22944
6.730000,341334,22963
6.735000,341775,22982
6.740000,342216,23002
6.745000,342657,23021
6.750000,343098,23040
6.755000,343539,23059
6.765000,343980,23098
6.770000,344421,23117
6.775000,344862,23136
6.780000,345303,23155
6.785000,345744,23174
6.790000,346185,23194
6.795000,346626,23213
6.800000,347067,23232
6.805000,347508,23251
6.810000,347949,23270
6.900000,348390,23616
6.905000,348831,23635
6.910000,349272,23654
6.915000,349713,23674
6.920000,350154,23693
6.925000,350595,23712
6.930000,351036,23731
6.935000,351477,23750
6.940000,351918,23770
6.945000,352359,23789
6.950000,352800,23808
6.955000,353241,23827
6.960000,353682,23846
6.965000,354123,23866
6.970000,354564,23885
6.975000,355005,23904
6.980000,355446,23923
6.985000,355887,23942
6.990000,356328,23962
6.995000,356769,23981
7.000000,357210,24000
7.005000,357651,24019
7.010000,358092,24038
7.015000,358533,24058
7.020000,358974,24077
7.025000,359415,24096
7.030000,359856,24115
7.035000,360297,24134
7.040000,360738,24154
7.045000,361179,24173
7.050000,361620,24192
7.055000,362061,24211
7.060000,362502,24230
7.065000,362943,24250
7.070000,363384,24269
7.075000,363825,24288
7.080000,364266,24307
7.085000,364707,24326
7.090000,365148,24346
7.305000,365589,25171
7.310000,366030,25190
7.315000,366471,25210
7.320000,366912,25229
7.325000,367353,25248
7.330000,367794,25267
7.335000,368235,25286
7.340000,368676,25306
7.345000,369117,25325
7.350000,369558,25344
7.355000,369999,25363
7.360000,370440,25382
7.365000,370881,25402
7.370000,371322,25421
7.375000,371763,25440
7.380000,372204,25459
7.385000,372645,25478
7.390000,373086,25498
7.395000,373527,25517
7.400000,373968,25536
7.405000,374409,25555
7.410000,374850,25574
7.415000,375291,25594
7.420000,375732,25613
7.425000,376173,25632
7.430000,376614,25651
7.435000,377055,25670
7.440000,377496,25690
7.445000,377937,25709
7.450000,378378,25728
7.455000,378819,25747
7.460000,379260,25766
7.465000,379701,25786
7.470000,380142,25805
7.475000,380583,25824
7.480000,381024,25843
7.485000,381465,25862
7.490000,381906,25882
7.495000,382347,25901
7.500000,382788,25920
7.505000,383229,25939
7.510000,383670,25958
7.515000,384111,25978
7.520000,384552,25997
7.525000,384993,26016
7.530000,385434,26035
7.535000,385875,26054
7.540000,386316,26074
7.545000,386757,26093
7.550000,387198,26112
7.555000,387639,26131
7.560000,388080,26150
7.565000,388521,26170
7.570000,388962,26189
7.575000,389403,26208
7.580000,389844,26227
7.585000,390285,26246
7.590000,390726,26266
7.595000,391167,26285
7.600000,391608,26304
7.605000,392049,26323
7.610000,392490,26342
7.615000,392931,26362
7.620000,393372,26381
7.625000,393813,26400
7.630000,394254,26419
7.635000,394695,26438
7.640000,395136,26458
7.645000,395577,26477
7.650000,396018,26496
7.655000,396459,26515
7.660000,396900,26534
7.665000,397341,26554
7.670000,397782,26573
7.675000,398223,26592
7.680000,398664,26611
7.685000,399105,26630
7.690000,399546,26650
7.695000,399987,26669
7.700000,400428,26688
7.705000,400869,26707
7.710000,401310,26726
7.715000,401751,26746
7.720000,402192,26765
7.725000,402633,26784
7.730000,403074,26803
7.735000,403515,26822
7.740000,403956,26842
7.745000,404397,26861
7.750000,404838,26880
7.760000,405279,26899
7.765000,405720,26918
7.770000,406161,26938
7.775000,406602,26957
7.780000,407043,26976
7.785000,407484,26995
7.790000,407925,27014
7.795000,408366,27034
7.800000,408807,27053
7.805000,409248,27072
7.810000,409689,27091
7.815000,410130,27110
7.820000,410571,27130
7.825000,411012,27149
7.830000,411453,27168
7.835000,411894,27187
7.840000,412335,27206
7.845000,412776,27226
7.850000,413217,27245
7.855000,413658,27264
7.860000,414099,27283
7.970000,414540,27725
7.975000,414981,27744
7.980000,415422,27763
7.985000,415863,27782
7.990000,416304,27802
7.995000,416745,27821
8.000000,417186,27840
8.005000,417627,27859
8.010000,418068,27878
8.015000,418509,27898
8.020000,418950,27917
8.045000,419391,27994
8.050000,419832,28013
8.125000,420273,28032
8.130000,420714,28339
8.135000,421155,28358
8.140000,421596,28378
8.145000,422037,28397
8.150000,422478,28416
8.155000,422919,28435
8.160000,423360,28454
8.165000,423801,28474
8.170000,424242,28493
8.175000,424683,28512
8.180000,425124,28531
8.185000,425565,28550
8.190000,426006,28570
8.195000,426447,28589
8.200000,426888,28608
8.205000,427329,28627
8.210000,427770,28646
8.215000,428211,28666
8.220000,428652,28685
8.225000,429093,28704
8.230000,429534,28723
8.235000,429975,28742
8.240000,430416,28762
8.245000,430857,28781
8.255000,431298,28800
8.270000,431739,28877
8.275000,432180,28896
8.280000,432621,28915
8.285000,433062,28934
8.290000,433503,28954
8.295000,433944,28973
8.300000,434385,28992
8.305000,434826,29011
8.310000,435267,29030
8.315000,435708,29050
8.320000,436149,29069
8.325000,436590,29088
8.330000,437031,29107
8.335000,437472,29126
8.340000,437913,29146
8.345000,438354,29165
8.350000,438795,29184
8.355000,439236,29203
8.360000,439677,29222
8.365000,440118,29242
8.370000,440559,29261
8.375000,441000,29280
8.380000,441441,29299
8.385000,441882,29318
8.390000,442323,29338
8.395000,442764,29357
8.400000,443205,29376
8.405000,443646,29395
8.410000,444087,29414
8.415000,444528,29434
8.420000,444969,29453
8.425000,445410,29472
8.430000,445851,29491
8.435000,446292,29510
8.440000,446733,29530
8.445000,447174,29549
8.450000,447615,29568
8.455000,448056,29587
8.460000,448497,29606
8.465000,448938,29626
8.470000,449379,29645
8.475000,449820,29664
8.495000,450261,29741
8.500000,450702,29760
8.510000,451143,29798
8.515000,451584,29818
8.525000,452025,29856
8.530000,452466,29875
8.535000,452907,29894
8.540000,453348,29914
8.545000,453789,29933
8.550000,454230,29952
8.555000,454671,29971
8.560000,455112,29990
8.565000,455553,30010
8.570000,455994,30029
8.575000,456435,30048
8.580000,456876,30067
8.585000,457317,30086
8.590000,457758,30106
8.595000,458199,30125
8.600000,458640,30144
8.605000,459081,30163
8.610000,459522,30182
8.615000,459963,30202
8.620000,460404,30221
8.710000,460845,30566
8.715000,461286,30586
8.720000,461727,30605
8.725000,462168,30624
8.730000,462609,30643
8.735000,463050,30662
8.740000,463491,30682
8.745000,463932,30701
8.750000,464373,30720
8.755000,464814,30739
8.760000,465255,30758
8.765000,465696,30778
8.770000,466137,30797
8.775000,466578,30816
8.780000,467019,30835
8.785000,467460,30854
8.790000,467901,30874
8.795000,468342,30893
8.800000,468783,30912
8.805000,469224,30931
8.810000,469665,30950
8.815000,470106,30970
8.820000,470547,30989
8.825000,470988,31008
8.830000,471429,31027
8.835000,471870,31046
8.840000,472311,31066
8.845000,472752,31085
8.850000,473193,31104
8.855000,473634,31123
8.860000,474075,31142
8.865000,474516,31162
8.870000,474957,31181
8.875000,475398,31200
8.880000,475839,31219
8.885000,476280,31238
8.890000,476721,31258
8.980000,477162,31277
8.985000,477603,31622
8.990000,478044,31642
8.995000,478485,31661
9.000000,478926,31680
9.005000,479367,31699
9.010000,479808,31718
9.045000,480249,31853
9.050000,480690,31872
9.145000,481131,32237
9.150000,481572,32256
9.155000,482013,32275
9.160000,482454,32294
9.165000,482895,32314
9.170000,483336,32333
9.175000,483777,32352
9.180000,484218,32371
9.185000,484659,32390
9.190000,485100,32410
9.195000,485541,32429
9.200000,485982,32448
9.205000,486423,32467
9.210000,486864,32486
9.215000,487305,32506
9.220000,487746,32525
9.225000,488187,32544
9.230000,488628,32563
9.235000,489069,32582
9.240000,489510,32602
9.245000,489951,32621
9.250000,490392,32640
9.255000,490833,32659
9.260000,491274,32678
9.265000,491715,32698
9.270000,492156,32717
9.275000,492597,32736
9.280000,493038,32755
9.285000,493479,32774
9.290000,493920,32794
9.295000,494361,32813
9.300000,494802,32832
9.305000,495243,32851
9.310000,495684,32870
9.315000,496125,32890
9.320000,496566,32909
9.325000,497007,32928
9.330000,497448,32947
9.335000,497889,32966
9.340000,498330,32986
9.345000,498771,33005
9.350000,499212,33024
9.355000,499653,33043
9.360000,500094,33062
9.365000,500535,33082
9.370000,500976,33101
9.375000,501417,33120
9.440000,501858,33370
9.445000,502299,33389
9.450000,502740,33408
9.455000,503181,33427
9.460000,503622,33446
9.465000,504063,33466
9.470000,504504,33485
9.475000,504945,33504
9.480000,505386,33523
9.485000,505827,33542
9.490000,506268,33562
9.495000,506709,33581
9.500000,507150,33600
9.505000,507591,33619
9.510000,508032,33638
9.515000,508473,33658
9.520000,508914,33677
9.525000,509355,33696
9.530000,509796,33715
9.535000,510237,33734
9.540000,510678,33754
9.545000,511119,33773
9.550000,511560,33792
9.555000,512001,33811
9.560000,512442,33830
9.565000,512883,33850
9.570000,513324,33869
9.575000,513765,33888
9.580000,514206,33907
9.585000,514647,33926
9.590000,515088,33946
9.595000,515529,33965
9.600000,515970,33984
9.605000,516411,34003
9.610000,516852,34022
9.615000,517293,34042
9.620000,517734,34061
9.625000,518175,34080
9.630000,518616,34099
9.635000,519057,34118
9.640000,519498,34138
9.645000,519939,34157
9.650000,520380,34483
9.720000,520821,34502
9.725000,521262,34522
9.730000,521703,34541
9.735000,522144,34944
9.740000,522585,34963
9.745000,523026,34982
9.755000,523467,35002
9.760000,523908,35021
9.765000,524349,35040
9.770000,524790,35136
9.775000,525231,35155
9.780000,525672,35174
9.785000,526113,35194
9.790000,526554,35213
9.795000,526995,35232
9.800000,527436,35290
9.805000,527877,35309
9.810000,528318,35328
9.815000,528759,35347
9.820000,529200,35366
9.825000,529641,35386
9.830000,530082,35405
9.835000,530523,35424
9.840000,530964,35443
9.845000,531405,35462
9.850000,531846,35482
9.855000,532287,35501
9.860000,532728,35520
9.865000,533169,35539
9.870000,533610,35558
9.875000,534051,35578
9.880000,534492,35597
9.885000,534933,35616
9.890000,535374,35635
9.895000,535815,35654
9.900000,536256,35674
9.905000,536697,35693
9.910000,537138,35712
9.990000,537579,35731
9.995000,538020,35750
10.000000,538461,35770
10.005000,538902,35789
10.010000,539343,35808
10.030000,539784,35827
10.045000,540225,35846
10.050000,540666,35866
10.055000,541107,35885
10.060000,541548,35904
10.155000,541989,36115
10.160000,542430,36134
10.165000,542871,36154
10.170000,543312,36173
10.175000,543753,36192
10.180000,544194,36211
10.185000,544635,36230
10.190000,545076,36250
10.195000,545517,36269
10.200000,545958,36288
10.205000,546399,36307
10.210000,546840,36326
10.215000,547281,36346
10.220000,547722,36365
10.225000,548163,36384
10.230000,548604,36403
10.235000,549045,36422
10.240000,549486,36442
10.245000,549927,36461
10.250000,550368,36480
10.255000,550809,36499
10.260000,551250,36518
10.265000,551691,36538
10.270000,552132,36557
10.275000,552573,36576
10.280000,553014,36595
10.285000,553455,36614
10.290000,553896,36634
10.295000,554337,36653
10.300000,554778,36672
10.305000,555219,36691
10.310000,555660,36710
10.315000,556101,36730
10.320000,556542,36749
10.325000,556983,36768
10.340000,557424,36826
10.345000,557865,36845
10.350000,558306,36864
10.355000,558747,36883
10.360000,559188,36902
10.365000,559629,36922
10.370000,560070,36941
10.375000,560511,36960
10.380000,560952,36979
10.385000,561393,36998
